,sepal_length,sepal_width,petal_length,petal_width,species,y_pred_hard,y_pred_soft
73,6.1,2.8,4.7,1.2,versicolor,versicolor,versicolor
18,5.7,3.8,1.7,0.3,setosa,setosa,setosa
118,7.7,2.6,6.9,2.3,virginica,virginica,virginica
78,6.0,2.9,4.5,1.5,versicolor,versicolor,versicolor
76,6.8,2.8,4.8,1.4,versicolor,versicolor,versicolor
31,5.4,3.4,1.5,0.4,setosa,setosa,setosa
64,5.6,2.9,3.6,1.3,versicolor,versicolor,versicolor
141,6.9,3.1,5.1,2.3,virginica,virginica,virginica
68,6.2,2.2,4.5,1.5,versicolor,versicolor,versicolor
82,5.8,2.7,3.9,1.2,versicolor,versicolor,versicolor
110,6.5,3.2,5.1,2.0,virginica,virginica,virginica
12,4.8,3.0,1.4,0.1,setosa,setosa,setosa
36,5.5,3.5,1.3,0.2,setosa,setosa,setosa
9,4.9,3.1,1.5,0.1,setosa,setosa,setosa
19,5.1,3.8,1.5,0.3,setosa,setosa,setosa
56,6.3,3.3,4.7,1.6,versicolor,versicolor,versicolor
104,6.5,3.0,5.8,2.2,virginica,virginica,virginica
69,5.6,2.5,3.9,1.1,versicolor,versicolor,versicolor
55,5.7,2.8,4.5,1.3,versicolor,versicolor,versicolor
132,6.4,2.8,5.6,2.2,virginica,virginica,virginica
29,4.7,3.2,1.6,0.2,setosa,setosa,setosa
127,6.1,3.0,4.9,1.8,virginica,virginica,virginica
26,5.0,3.4,1.6,0.4,setosa,setosa,setosa
128,6.4,2.8,5.6,2.1,virginica,virginica,virginica
131,7.9,3.8,6.4,2.0,virginica,virginica,virginica
145,6.7,3.0,5.2,2.3,virginica,virginica,virginica
108,6.7,2.5,5.8,1.8,virginica,virginica,virginica
143,6.8,3.2,5.9,2.3,virginica,virginica,virginica
45,4.8,3.0,1.4,0.3,setosa,setosa,setosa
30,4.8,3.1,1.6,0.2,setosa,setosa,setosa
