age,marital,Personal_loan,housing_loan,ever_defaulted,Loan_approved
56,married,no,no,no,no
57,married,no,no,unknown,no
37,married,yes,no,no,no
40,married,no,no,no,no
56,married,no,yes,no,no
45,married,no,no,unknown,no
59,married,no,no,no,no
41,married,no,no,unknown,no
24,single,yes,no,no,no
25,single,yes,no,no,no
41,married,no,no,unknown,no
25,single,yes,no,no,no
29,single,no,yes,no,no
57,divorced,yes,no,no,no
35,married,yes,no,no,no
54,married,yes,yes,unknown,no
35,married,yes,no,no,no
46,married,yes,yes,unknown,no
50,married,yes,yes,no,no
39,single,no,no,unknown,no
30,married,no,no,no,no
55,married,yes,no,unknown,no
55,single,yes,no,no,no
41,single,yes,no,no,no
37,married,yes,no,no,no
35,married,no,yes,no,no
59,married,yes,no,no,no
39,married,no,no,unknown,no
54,single,no,no,unknown,no
55,married,unknown,unknown,unknown,no
46,married,no,no,no,no
59,married,yes,no,no,no
49,married,no,no,no,no
54,married,yes,no,unknown,no
54,divorced,no,no,no,no
55,married,yes,no,unknown,no
34,married,no,no,no,no
52,married,yes,no,no,no
41,married,yes,no,no,no
56,married,yes,no,no,no
58,unknown,yes,no,no,no
32,married,yes,no,no,no
38,single,no,no,no,no
57,married,no,yes,no,no
44,married,yes,no,unknown,no
42,single,no,no,unknown,no
57,married,yes,yes,no,no
40,married,no,yes,no,no
35,married,yes,no,no,no
45,married,yes,no,no,no
54,married,no,no,no,no
39,married,no,yes,no,no
60,married,no,no,no,no
53,single,no,no,no,no
55,married,no,no,unknown,no
55,married,yes,no,unknown,no
50,married,no,yes,unknown,no
45,married,yes,no,unknown,no
55,married,yes,yes,unknown,no
25,single,yes,no,no,no
47,married,no,no,unknown,no
51,married,yes,no,no,no
42,married,yes,no,unknown,no
42,married,no,no,unknown,no
48,married,no,no,no,no
37,married,no,no,no,no
44,single,yes,no,no,no
33,married,yes,no,no,no
56,married,yes,no,no,no
44,single,yes,yes,unknown,no
41,married,no,no,no,no
44,divorced,yes,no,no,no
47,married,yes,no,unknown,no
57,married,no,no,unknown,no
37,married,yes,no,unknown,no
41,divorced,yes,no,unknown,yes
55,married,no,no,no,no
33,married,yes,no,unknown,no
55,married,yes,no,unknown,no
42,married,no,no,unknown,no
50,married,yes,no,unknown,no
51,married,unknown,unknown,unknown,no
38,married,no,no,unknown,no
49,married,yes,no,unknown,yes
38,single,no,yes,no,no
31,divorced,no,no,no,no
41,married,no,no,no,no
39,married,yes,yes,no,no
49,married,no,no,no,yes
34,married,yes,no,no,no
35,married,yes,no,no,no
57,married,yes,no,unknown,no
60,married,no,yes,unknown,no
33,married,no,no,no,no
42,married,no,yes,no,no
45,married,yes,no,no,no
42,married,no,no,no,no
53,divorced,no,no,unknown,no
37,single,no,no,no,no
44,married,no,no,no,no
54,married,yes,no,no,no
49,married,no,no,no,no
54,married,no,no,no,no
52,divorced,no,no,no,no
52,divorced,no,no,no,no
43,single,no,no,unknown,no
34,married,yes,no,no,no
35,married,yes,no,no,no
42,married,yes,no,unknown,no
43,married,yes,yes,unknown,no
60,divorced,no,no,unknown,no
58,married,no,no,unknown,no
35,divorced,yes,no,no,no
55,married,yes,no,unknown,no
37,married,no,no,no,no
36,married,no,no,no,no
52,divorced,no,no,no,no
57,divorced,yes,no,unknown,no
56,married,yes,no,no,no
48,divorced,yes,no,unknown,no
40,married,yes,no,unknown,no
49,divorced,no,no,no,no
41,married,no,no,no,no
45,married,yes,no,no,no
32,married,yes,yes,no,no
42,married,no,yes,no,no
50,married,no,no,no,no
31,divorced,yes,yes,no,no
56,married,yes,no,no,no
41,married,yes,no,unknown,yes
37,married,yes,yes,no,no
41,married,no,no,unknown,no
35,married,yes,no,no,no
